row_id,gold,arg_pred,flat_pred,category,arg_dist,flat_dist,n_queries_arg,statement
14,True,True,Barely-true,arg_only_right,0,3,3,"""Senator McCain voted against the Bush tax cuts. Now he's for them."""
31,True,Mostly-true,False,both_wrong_different,1,4,3,"""Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school – no matter where they live or how much money their parents make."""
42,Barely-true,Mostly-true,Half-true,both_wrong_different,2,1,3,"""I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City."" -"
44,Mostly-true,False,False,both_wrong_same,3,3,3,"""Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance."""
66,True,True,Half-true,arg_only_right,0,2,3,"Poor people go to a ""payday lender...and they pay 300, 400, 500 percent interest."""
369,False,Pants-fire,Barely-true,both_wrong_different,1,1,3,"""As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs."""
386,Mostly-true,Mostly-true,False,arg_only_right,0,3,4,"""I committed to public financing; (Obama) committed to public financing."""
422,Half-true,Half-true,False,arg_only_right,0,2,3,"""I did very well with young people in Ohio, Massachusetts, California."""
458,Pants-fire,False,Barely-true,both_wrong_different,1,2,3,"McCain says the price of a gas tax ""holiday"" would be about the same as ""a Bridge to Nowhere (or) another pork barrel project."""
512,True,Mostly-true,Barely-true,both_wrong_different,1,3,2,"""John McCain decided to stand with George Bush 95 percent of the time (last year)."""
570,Half-true,Half-true,False,arg_only_right,0,2,3,"Obama ""voted for and even sponsored amendments that were intended to kill the (immigration overhaul) legislation."""
605,False,False,False,both_correct,0,0,3,"""Senator Obama has voted 94 times to either increase your taxes or against tax cuts."""
624,True,False,False,both_wrong_same,4,4,4,"McCain is ""raising campaign cash with one of (Jack) Abramoff's closest business partners: scandal-plagued conservative activist Ralph Reed."""
663,Pants-fire,False,False,both_wrong_same,1,1,2,"McCain's energy plan is a ""single-answer proposition"" — new domestic oil drilling."
664,False,Pants-fire,False,flat_only_right,1,0,4,"McCain ""still thinks it's okay when women don't earn equal pay for equal work."""
671,True,False,False,both_wrong_same,4,4,4,"Three years ago, John McCain said, ""Afghanistan — we don't read about it anymore in papers because it succeeded."""
677,True,Mostly-true,False,both_wrong_different,1,4,2,"Sarah Palin ""has had 12 years of elected office experience."""
686,False,False,False,both_correct,0,0,4,"In the U.S. Senate, Barack Obama ""has not reached across party lines to get anything significant done."""
714,Mostly-true,False,False,both_wrong_same,3,3,4,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq."
794,Half-true,Mostly-true,Barely-true,both_wrong_different,1,1,2,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it."""
916,Pants-fire,Pants-fire,False,arg_only_right,0,1,2,"The stimulus bill includes ""$300,000 for a sculpture garden in Miami."""
975,True,True,False,arg_only_right,0,4,3,"Obama's budget plan would ""take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent."""
1011,Barely-true,Pants-fire,False,both_wrong_different,2,1,2,"The economic stimulus bill created a council that's ""modeled after the national board that controls Britain’s health system."""
1044,Pants-fire,Pants-fire,False,arg_only_right,0,1,4,"""If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world."""
1052,True,True,False,arg_only_right,0,4,2,"""Obama has more czars than the Romanovs."""
1075,Barely-true,Half-true,False,both_wrong_different,1,1,2,"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . .  health care for Kentucky's children,"" and ""fair pay for women."""
1095,Pants-fire,False,False,both_wrong_same,1,1,3,The health care reform bill -- on Page 16 -- outlaws private insurance.
1112,Half-true,Half-true,Barely-true,arg_only_right,0,1,3,"""As many as 22,000 Americans die each year because they don’t have health insurance."""
1130,True,False,False,both_wrong_same,4,4,4,"The health care plan for members of Congress ""is no better than the janitor who cleans their offices."""
1234,False,False,False,both_correct,0,0,1,All the talk about socialism during the campaign made young people more interested in it by Election Day.
1246,Mostly-true,Mostly-true,False,arg_only_right,0,3,5,"Forty percent of gross domestic product ""is state, local, or federal money."""
1251,True,Mostly-true,Barely-true,both_wrong_different,1,3,2,Health care premiums for consumers have doubled since 2001.
1324,Barely-true,Barely-true,False,arg_only_right,0,1,3,"""The Stupak Amendment doesn't just say you can't use your federal insurance subsidy to pay for an abortion, it says, if you're getting a federal subsidy of any kind, you're not allowed to buy an insurance plan that covers abortion even with your own money."""
1412,Pants-fire,Pants-fire,False,arg_only_right,0,1,2,"There are ""high administrative costs"" when you donate to Haiti relief through the White House Web site."
1414,False,Pants-fire,False,flat_only_right,1,0,3,"The Democrats' health care bills would provide ""free health care for illegal immigrants."""
1439,Half-true,Half-true,False,arg_only_right,0,2,3,"“Under (Rick Perry’s) watch as governor, over six million Texans have no health care coverage, including one million children, homeowners suffer from the highest insurance rates in the country, and college tuition has skyrocketed 136 percent.”"
1477,False,False,False,both_correct,0,0,3,"On the new dollar coins, ""'In God We Trust' is gone!"""
1502,Half-true,Pants-fire,False,both_wrong_different,3,2,2,"The stimulus includes ""$7 million to build a bridge in Thedford, Nebraska, to help 168 residents avoid a 30-second wait at a local train crossing. Not one full-time job will be created."""
1514,Barely-true,Pants-fire,False,both_wrong_different,2,1,3,"""Bill McCollum said tax cuts don't work."""
1569,Mostly-true,Mostly-true,Half-true,arg_only_right,0,1,2,"""When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it."""
1591,Pants-fire,Pants-fire,False,arg_only_right,0,1,4,"People ""can't go fishing anymore because of Obama."""
1597,Half-true,Half-true,False,arg_only_right,0,2,5,"St. Pete Beach's experiences are a ""fair example"" of what could happen if Amendment 4 passes."
1605,Pants-fire,False,False,both_wrong_same,1,1,2,"The Democratic health care plan is a ""government takeover of nearly 20 percent of our economy."""
1616,Half-true,Half-true,False,arg_only_right,0,2,3,"""Last week the Texas State Board of Education (SBOE), led by Rick Perry's appointee, voted to remove Thomas Jefferson from social studies textbook standards. That's right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change."""
1660,Half-true,Pants-fire,False,both_wrong_different,3,2,4,"""If every house in Florida had a solar-heated water tank, that would eliminate consumption by 17 percent."""
1844,Half-true,Half-true,False,arg_only_right,0,2,3,"""The Democratic Congress has already taken significant steps to create jobs and jump-start the economy, resulting in the lowest tax rates in over 50 years and the creation of over 500,000 new jobs so far this year."""
1900,Mostly-true,Mostly-true,False,arg_only_right,0,3,1,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich."""
1942,Mostly-true,False,False,both_wrong_same,3,3,1,"The Tampa Bay Rays' ""prices have been judged the most affordable in all of professional sports."""
2046,Mostly-true,Mostly-true,False,arg_only_right,0,3,2,"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007."""
2060,Mostly-true,Mostly-true,Half-true,arg_only_right,0,1,2,"""We went from losing 3 million jobs in the last six months of the Bush Administration,"" adding almost 600,000 private sector jobs in the first six months of the year."
2074,Mostly-true,True,False,both_wrong_different,1,3,2,"As a Congressman, J.D. Hayworth was an avid earmarker who supported such pork as ""$220,000 to renovate a Maine Blueberry farm"" and ""$5.8 million for a Vermont snowmobile trail."""
2094,True,True,False,arg_only_right,0,4,1,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling."""
2214,True,Mostly-true,False,both_wrong_different,1,4,2,"""I've taken on the federal government and won."""
2238,True,True,Half-true,arg_only_right,0,2,3,"""The unemployment rate for folks who've never gone to college is almost double what it is for those who have."""
2239,False,False,False,both_correct,0,0,1,"Pam Bondi ""refuses to take a position on the gay-adoption ban."""
2252,Half-true,Mostly-true,False,both_wrong_different,1,2,3,Republicans tried to block the deficit commission.
2284,Pants-fire,Pants-fire,False,arg_only_right,0,1,3,"""The government is trying to now close the Lincoln Memorial for any kind of large gatherings."""
2296,True,Mostly-true,False,both_wrong_different,1,4,3,"In Rhode Island ""there are 150 different pension plans for public workers."""
2340,Half-true,Half-true,False,arg_only_right,0,2,4,"Georgia's U.S. senators voted for legislation that would ""gut clean air protections and increase oil dependence."""
2358,Barely-true,Pants-fire,False,both_wrong_different,2,1,2,"The Richardson-Denish administration ""gave"" 50,000 driver's licenses to illegal immigrants in New Mexico."
2384,Half-true,Half-true,False,arg_only_right,0,2,3,"Clayton County has employed 1,300 people over the past seven months through the Neighborhood Stabilization Program."
2402,True,Half-true,False,both_wrong_different,2,4,3,"Ed Schultz said Alan Grayson is ""what it's all about."""
2408,Barely-true,Pants-fire,False,both_wrong_different,2,1,2,"Tom Barrett ""voted for the largest tax increase in history ... raising taxes on gas and Social Security."""
2424,Pants-fire,Pants-fire,False,arg_only_right,0,1,1,"""Ganley said that if elected, he wants to ‘cut the dickens’ out of Social Security, Medicare and Veterans’ benefits."""
2442,Pants-fire,Pants-fire,False,arg_only_right,0,1,3,"A bill by Earl Blumenauer would ""mandate GPS tracking devices on all our vehicles."""
2454,Barely-true,Pants-fire,False,both_wrong_different,2,1,3,"State pension fund staffers ""lost billions. Then Sink gave them bonuses."""
2528,Pants-fire,False,False,both_wrong_same,1,1,3,Says Sal Esquivel wants a 5 percent state sales tax on groceries.
