row_id,gold,arg_pred,flat_pred,category,arg_dist,flat_dist,n_queries_arg,statement
3,Mostly-true,Mostly-true,False,arg_only_right,0,3,3,"""New Mexico was 46th in teacher pay (when he was elected), now we're 29th."""
6,Half-true,Mostly-true,False,both_wrong_different,1,2,4,"""Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd."""
12,False,Mostly-true,False,flat_only_right,3,0,5,"""I'll tell you what I can tell this country: If they want a president who doesn't believe in God, there's probably plenty of choices."""
31,True,Mostly-true,False,both_wrong_different,1,4,3,"""Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school – no matter where they live or how much money their parents make."""
42,Barely-true,Mostly-true,False,both_wrong_different,2,1,3,"""I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City."" -"
63,Mostly-true,False,False,both_wrong_same,3,3,2,"""We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a 
fraction of what we're spending in Iraq, the $500 billion we've spent there"""
66,True,True,Half-true,arg_only_right,0,2,3,"Poor people go to a ""payday lender...and they pay 300, 400, 500 percent interest."""
70,Mostly-true,Mostly-true,False,arg_only_right,0,3,6,"""Congressman Paul introduces numerous pieces of substantive legislation each year, probably more than any single member of Congress."""
73,True,Half-true,False,both_wrong_different,2,4,4,"""Each year, 18,000 people die in America because they don't have health care."""
87,True,Mostly-true,False,both_wrong_different,1,4,2,"Obama ""won health care for 150,000 people."""
110,False,Pants-fire,False,flat_only_right,1,0,2,"""The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program."""
125,Mostly-true,Half-true,False,both_wrong_different,1,3,4,"Mitt Romney boasts that he is ""proud to be the only major candidate for president to sign the tax pledge. The others have not."""
126,Mostly-true,Mostly-true,False,arg_only_right,0,3,2,"""First, he was in favor of my plan, now he's attacking it."""
139,Mostly-true,Barely-true,False,both_wrong_different,2,3,4,"He received ""A"" ratings from ""every conservative organization that gives ratings."""
171,False,Half-true,False,flat_only_right,2,0,2,''The leading Democratic candidate once said that the unfettered free market is the most destructive force in modern America.''
180,False,Half-true,Half-true,both_wrong_same,2,2,3,"""Congress' approval rating is 11 percent. You know who's higher? Dick Cheney and HMOs."""
184,False,Half-true,False,flat_only_right,2,0,5,"""Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change."""
187,Half-true,Half-true,False,arg_only_right,0,2,3,"""Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs."""
207,True,Half-true,False,both_wrong_different,2,4,3,"""I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail."""
211,True,False,False,both_wrong_same,4,4,5,"""He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq."""
255,Mostly-true,False,Barely-true,both_wrong_different,3,2,3,"""The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her."""
258,True,True,Barely-true,arg_only_right,0,3,3,"""Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent."""
266,Half-true,True,False,both_wrong_different,2,2,4,"""You said you would vote against the Patriot Act, then you came to the Senate, you voted for it."""
376,Half-true,Mostly-true,False,both_wrong_different,1,2,3,"A mailer from the Obama campaign ""accurately indicates"" that Hillary Clinton would ""force uninsured people to buy insurance, even if they can't afford it."""
378,Half-true,Pants-fire,False,both_wrong_different,3,2,3,"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war."""
379,True,False,False,both_wrong_same,4,4,2,"""He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight."""
384,True,Mostly-true,False,both_wrong_different,1,4,4,"""John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq."""
386,Mostly-true,Mostly-true,False,arg_only_right,0,3,4,"""I committed to public financing; (Obama) committed to public financing."""
422,Half-true,Half-true,False,arg_only_right,0,2,3,"""I did very well with young people in Ohio, Massachusetts, California."""
450,Barely-true,Half-true,False,both_wrong_different,1,1,2,"Barack Obama's health care plan ""will cost taxpayers $1,700 more to cover each new person."""
487,Barely-true,Half-true,False,both_wrong_different,1,1,2,"""The White House is won in the swing states, and I am winning the swing states."""
502,True,False,False,both_wrong_same,4,4,4,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate."""
512,True,Mostly-true,False,both_wrong_different,1,4,2,"""John McCain decided to stand with George Bush 95 percent of the time (last year)."""
531,Mostly-true,True,False,both_wrong_different,1,3,4,"""George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years."""
544,Barely-true,False,Barely-true,flat_only_right,1,0,2,John McCain has changed position on invading Iraq.
553,False,Half-true,False,flat_only_right,2,0,3,"McCain ""hasn't held executive responsibility."""
568,True,True,Half-true,arg_only_right,0,2,3,"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons."""
574,True,False,False,both_wrong_same,4,4,4,"""McCain got more money from Airbus' U.S. executives than any other politician."""
582,True,True,False,arg_only_right,0,4,4,"""For at least a year now, I have called for two additional brigades, perhaps three."""
592,Barely-true,False,False,both_wrong_same,1,1,2,"Barack Obama ""is more to the left of the announced Socialist in the United States Senate."""
605,False,False,False,both_correct,0,0,3,"""Senator Obama has voted 94 times to either increase your taxes or against tax cuts."""
631,Pants-fire,Pants-fire,False,arg_only_right,0,1,3,"Barack Obama ""rejects everyone white, including his mother and his grandparents."""
643,Half-true,Half-true,False,arg_only_right,0,2,3,"Says McCain ""supported George Bush's policies 95 percent of the time."""
660,Half-true,Half-true,False,arg_only_right,0,2,3,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us."""
664,False,False,False,both_correct,0,0,4,"McCain ""still thinks it's okay when women don't earn equal pay for equal work."""
688,False,Pants-fire,False,flat_only_right,1,0,2,"""He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' """
699,Half-true,Half-true,False,arg_only_right,0,2,3,"""Senator Obama thinks we can achieve energy independence without more drilling and without more nuclear power."""
700,True,False,False,both_wrong_same,4,4,4,"""My grandfather came home from ... (World War II) exhausted from the burdens he had borne, and died the next day."""
714,Mostly-true,False,False,both_wrong_same,3,3,4,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq."
715,False,Barely-true,Half-true,both_wrong_different,1,2,5,On whether global warming is man-made.
727,Mostly-true,Mostly-true,False,arg_only_right,0,3,2,"Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac ""than any other member of Congress, except for the Democratic chairmen of the committee that oversees them."""
729,Half-true,Barely-true,Half-true,flat_only_right,1,0,1,On whether the government should bail out insurance giant AIG.
737,False,False,False,both_correct,0,0,1,"McCain ""has opposed stem cell research."""
752,Half-true,False,False,both_wrong_same,2,2,1,"John McCain ""has threatened extinction for North Korea and sung songs about bombing Iran."""
757,Half-true,Half-true,Barely-true,arg_only_right,0,1,2,"""John McCain fought to rein in Fannie and Freddie...but Democrats blocked the reforms."""
781,False,False,False,both_correct,0,0,3,"""Oil companies ...currently have 68-million acres that they're not using."""
788,Mostly-true,Mostly-true,False,arg_only_right,0,3,2,"A mortgage buyback plan is ""my proposal, it's not Sen. Obama's proposal, it's not President Bush's proposal."""
792,Half-true,Half-true,False,arg_only_right,0,2,4,"""The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change."""
